case,Last_Event,First_Event,Case_Duration,Variants,Case_Duration in minutes
1355,End,Register,1222.0,1,20.37
1357,End,Register,55763.0,1,929.38
1359,End,Register,55376.0,1,922.93
1363,End,Register,55419.0,1,923.65
1364,End,Register,55208.0,1,920.13
1366,End,Register,55514.0,1,925.23
1369,End,Register,55282.0,1,921.37
1370,End,Register,55489.0,1,924.82
1371,End,Register,55348.0,1,922.47
1372,End,Register,55308.0,1,921.8
1375,End,Register,1300.0,1,21.67
1376,End,Register,1347.0,1,22.45
1377,End,Register,1255.0,1,20.92
1378,End,Register,1406.0,1,23.43
1379,End,Register,1237.0,1,20.62
1381,End,Register,1147.0,1,19.12
1384,End,Register,1287.0,1,21.45
1389,End,Register,1142.0,1,19.03
1391,End,Register,1198.0,1,19.97
1394,End,Register,1174.0,1,19.57
1395,End,Register,1287.0,1,21.45
1396,End,Register,1342.0,1,22.37
1401,End,Register,1296.0,1,21.6
1403,End,Register,1092.0,1,18.2
1404,End,Register,1223.0,1,20.38
1408,End,Register,1218.0,1,20.3
1409,End,Register,1135.0,1,18.92
1410,End,Register,1407.0,1,23.45
1413,End,Register,1416.0,1,23.6
1415,End,Register,1419.0,1,23.65
1416,End,Register,1287.0,1,21.45
1418,End,Register,1198.0,1,19.97
1427,End,Register,1320.0,1,22.0
1428,End,Register,1236.0,1,20.6
1430,End,Register,1367.0,1,22.78
1431,End,Register,1178.0,1,19.63
1433,End,Register,1449.0,1,24.15
1436,End,Register,1152.0,1,19.2
1438,End,Register,1379.0,1,22.98
1441,End,Register,1261.0,1,21.02
1443,End,Register,1288.0,1,21.47
1444,End,Register,1415.0,1,23.58
1445,End,Register,1170.0,1,19.5
1446,End,Register,1246.0,1,20.77
1447,End,Register,1298.0,1,21.63
1448,End,Register,1275.0,1,21.25
1452,End,Register,1247.0,1,20.78
1453,End,Register,1226.0,1,20.43
1454,End,Register,1327.0,1,22.12
1458,End,Register,1329.0,1,22.15
1459,End,Register,1239.0,1,20.65
1462,End,Register,1228.0,1,20.47
1464,End,Register,1323.0,1,22.05
1469,End,Register,1309.0,1,21.82
1470,End,Register,1243.0,1,20.72
1471,End,Register,1094.0,1,18.23
